"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model.nlogo"
"initial-trust-effect"
"11/02/2025 23:42:00:297 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","population-size","avg-degree","initial-seeds","network-type","rumor-is-true?","heterogeneity-level","learning-rate","initial-trust-mean","initial-trust-sd","hearing-threshold","trust-update-interval","verify-rumor?","verification-delay","show-trust-links?","max-ticks","[step]","count turtles with [rumor-known?] / population-size","mean [belief] of turtles","count turtles with [belief > 0.5] / population-size"
"91","200","6","5","small-world","false","0.2","0.1","0.35","0.15","3","10","false","200","false","500","500","1","0.33758690025294524","0"
"92","200","6","5","small-world","false","0.2","0.1","0.35","0.15","3","10","false","200","false","500","500","1","0.274071934302584","0"
"90","200","6","5","small-world","false","0.2","0.1","0.2","0.15","3","10","false","200","false","500","500","1","0.2960465988473368","0"
"89","200","6","5","small-world","false","0.2","0.1","0.2","0.15","3","10","false","200","false","500","500","1","0.3196882544569759","0"
"93","200","6","5","small-world","false","0.2","0.1","0.35","0.15","3","10","false","200","false","500","500","1","0.3558881974363828","0"
"99","200","6","5","small-world","false","0.2","0.1","0.35","0.15","3","10","false","200","false","500","500","1","0.2928244007574667","0"
"98","200","6","5","small-world","false","0.2","0.1","0.35","0.15","3","10","false","200","false","500","500","1","0.27739319927149425","0"
"100","200","6","5","small-world","false","0.2","0.1","0.35","0.15","3","10","false","200","false","500","500","1","0.3074034699864634","0"
"97","200","6","5","small-world","false","0.2","0.1","0.35","0.15","3","10","false","200","false","500","500","1","0.30822661419955905","0"
"101","200","6","5","small-world","false","0.2","0.1","0.35","0.15","3","10","false","200","false","500","500","1","0.2484025790674367","0"
"103","200","6","5","small-world","false","0.2","0.1","0.35","0.15","3","10","false","200","false","500","500","1","0.27897461103676363","0"
"102","200","6","5","small-world","false","0.2","0.1","0.35","0.15","3","10","false","200","false","500","500","1","0.309169961837886","0"
"104","200","6","5","small-world","false","0.2","0.1","0.35","0.15","3","10","false","200","false","500","500","1","0.23789375891055184","0"
"106","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.33341632914358854","0"
"105","200","6","5","small-world","false","0.2","0.1","0.35","0.15","3","10","false","200","false","500","500","1","0.29441879398826876","0"
"107","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3299098533219055","0"
"113","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.4022080021998732","0"
"109","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.4002284612035824","0"
"111","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.39865455362280294","0"
"112","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.321810033834891","0"
"108","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3603547909239534","0"
"123","200","6","5","small-world","false","0.2","0.1","0.65","0.15","3","10","false","200","false","500","500","1","0.4137142896693564","0"
"110","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3674407751902931","0"
"115","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.39077211342748724","0"
"114","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3680802042751675","0"
"116","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.4175653546050054","0"
"117","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3635929046256485","0"
"122","200","6","5","small-world","false","0.2","0.1","0.65","0.15","3","10","false","200","false","500","500","1","0.44355945913896955","0"
"118","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.34501551497739263","0"
"120","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.34190031663868525","0"
"119","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.38838480440417933","0"
"124","200","6","5","small-world","false","0.2","0.1","0.65","0.15","3","10","false","200","false","500","500","1","0.3986196509339729","0"
"121","200","6","5","small-world","false","0.2","0.1","0.65","0.15","3","10","false","200","false","500","500","1","0.36546753419627687","0"
"125","200","6","5","small-world","false","0.2","0.1","0.65","0.15","3","10","false","200","false","500","500","1","0.44796352063269546","0"
"130","200","6","5","small-world","false","0.2","0.1","0.65","0.15","3","10","false","200","false","500","500","1","0.40683249250156883","0"
"127","200","6","5","small-world","false","0.2","0.1","0.65","0.15","3","10","false","200","false","500","500","1","0.4735390267396554","0"
"128","200","6","5","small-world","false","0.2","0.1","0.65","0.15","3","10","false","200","false","500","500","1","0.43277560131449716","0"
"126","200","6","5","small-world","false","0.2","0.1","0.65","0.15","3","10","false","200","false","500","500","1","0.5110129362783233","1"
"131","200","6","5","small-world","false","0.2","0.1","0.65","0.15","3","10","false","200","false","500","500","1","0.4354956155492046","0"
"129","200","6","5","small-world","false","0.2","0.1","0.65","0.15","3","10","false","200","false","500","500","1","0.5368188542459109","1"
