"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model.nlogo"
"network-structure-effect"
"11/02/2025 23:41:21:910 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","population-size","avg-degree","initial-seeds","network-type","rumor-is-true?","heterogeneity-level","learning-rate","initial-trust-mean","initial-trust-sd","hearing-threshold","trust-update-interval","verify-rumor?","verification-delay","show-trust-links?","max-ticks","[step]","count turtles with [rumor-known?] / population-size","mean [belief] of turtles","count turtles with [belief > 0.5]","variance [belief] of turtles"
"98","200","6","5","scale-free","true","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.35600123198440586","0","1.267359292546211E-22"
"95","200","6","5","scale-free","true","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.38471535452865063","0","5.090348048234809E-25"
"97","200","6","5","scale-free","true","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.39833724165986695","0","1.5455453355265427E-17"
"101","200","6","5","scale-free","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.34747674738201595","0","4.895293392477602E-19"
"103","200","6","5","scale-free","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.300096492554455","0","5.707779987784222E-17"
"102","200","6","5","scale-free","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.4154115979389743","0","2.7977563404157187E-24"
"105","200","6","5","scale-free","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3473751869743554","0","3.4892156551825785E-19"
"106","200","6","5","scale-free","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.361031377409269","0","5.3240411347927637E-20"
"108","200","6","5","scale-free","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3894072303617447","0","1.418495166747668E-23"
"104","200","6","5","scale-free","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.37335913439628476","0","3.750624643946116E-22"
"107","200","6","5","scale-free","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.45376059684207376","0","3.1773120290257695E-18"
"109","200","6","5","scale-free","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.41946359666809657","0","7.12384752644727E-23"
"110","200","6","5","scale-free","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.365648144216569","0","6.015962616249902E-21"
"114","200","6","5","scale-free","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.4027589802563263","0","3.930714909319815E-24"
"112","200","6","5","scale-free","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.38965676799173365","0","1.7136340140988834E-16"
"111","200","6","5","scale-free","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.337333305404603","0","1.3757573476242651E-21"
"113","200","6","5","scale-free","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.36966798167161946","0","3.053615509386479E-21"
"119","200","6","5","scale-free","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.4084646928445209","0","4.063374096436667E-24"
"115","200","6","5","scale-free","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.35933694424685186","0","1.2760255357538866E-21"
"116","200","6","5","scale-free","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.40632410900250837","0","9.315507943202337E-24"
"117","200","6","5","scale-free","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3726617271421631","0","1.6727756713603648E-21"
"118","200","6","5","scale-free","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.40517593874082924","0","6.719032667346338E-24"
"120","200","6","5","scale-free","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.34838440817383476","0","1.4846772065644068E-21"
