"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model.nlogo"
"heterogeneity-effect"
"11/02/2025 23:41:04:682 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","population-size","avg-degree","initial-seeds","network-type","rumor-is-true?","heterogeneity-level","learning-rate","initial-trust-mean","initial-trust-sd","hearing-threshold","trust-update-interval","verify-rumor?","verification-delay","show-trust-links?","max-ticks","[step]","count turtles with [rumor-known?] / population-size","mean [belief] of turtles","count turtles with [belief > 0.5] / population-size","ticks"
"138","200","6","5","small-world","false","0.15","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.370918026661084","0","500"
"139","200","6","5","small-world","false","0.15","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3450573312371665","0","500"
"137","200","6","5","small-world","false","0.15","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3990020817441512","0","500"
"141","200","6","5","small-world","false","0.15","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3878514922674319","0","500"
"144","200","6","5","small-world","false","0.15","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3508244939453092","0","500"
"143","200","6","5","small-world","false","0.15","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.35902136823191344","0","500"
"136","200","6","5","small-world","false","0.15","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.36640634405945627","0","500"
"142","200","6","5","small-world","false","0.15","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.31599381106919744","0","500"
"145","200","6","5","small-world","false","0.15","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.35015599615849097","0","500"
"146","200","6","5","small-world","false","0.15","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.44429748581526746","0","500"
"147","200","6","5","small-world","false","0.15","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3687491139989779","0","500"
"148","200","6","5","small-world","false","0.15","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.38905019719827416","0","500"
"150","200","6","5","small-world","false","0.15","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.31384641700925947","0","500"
"151","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3627282859939249","0","500"
