"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model.nlogo"
"full-factorial-analysis"
"11/02/2025 23:42:19:821 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","population-size","avg-degree","initial-seeds","network-type","rumor-is-true?","heterogeneity-level","learning-rate","initial-trust-mean","initial-trust-sd","hearing-threshold","trust-update-interval","verify-rumor?","verification-delay","show-trust-links?","max-ticks","[step]","count turtles with [rumor-known?] / population-size","mean [belief] of turtles","mean [belief] of turtles with [rumor-known?]","count turtles with [belief > 0.5] / population-size","variance [belief] of turtles"
"93","200","6","5","random","true","0.3","0.1","0.6","0.15","3","10","false","200","false","500","500","1","0.4516789049298312","0.4516789049298312","0","7.588822087600374E-31"
"92","200","6","5","random","true","0.3","0.1","0.6","0.15","3","10","false","200","false","500","500","1","0.4945399339971489","0.4945399339971489","0","7.942220902764948E-27"
"94","200","6","5","random","true","0.3","0.1","0.6","0.15","3","10","false","200","false","500","500","1","0.4939481385906285","0.4939481385906285","0","1.2969038040785059E-30"
"88","200","6","5","random","true","0.3","0.1","0.4","0.15","3","10","false","200","false","500","500","1","0.32985442949409505","0.32985442949409505","0","1.251569649003452E-17"
"101","200","6","5","random","true","0.3","0.2","0.4","0.15","3","10","false","200","false","500","500","1","0.30019337202480734","0.30019337202480734","0","1.0023363326196326E-13"
"95","200","6","5","random","true","0.3","0.1","0.6","0.15","3","10","false","200","false","500","500","1","0.5321263269103483","0.5321263269103483","1","1.9626210196405156E-28"
"97","200","6","5","random","true","0.3","0.1","0.6","0.15","3","10","false","200","false","500","500","1","0.5012116223207912","0.5012116223207912","1","2.2545961801228665E-30"
"98","200","6","5","random","true","0.3","0.1","0.6","0.15","3","10","false","200","false","500","500","1","0.4578696568566872","0.4578696568566872","0","1.240306626617317E-30"
"102","200","6","5","random","true","0.3","0.2","0.4","0.15","3","10","false","200","false","500","500","1","0.3771595656809697","0.3771595656809697","0","9.609912076302486E-13"
"100","200","6","5","random","true","0.3","0.1","0.6","0.15","3","10","false","200","false","500","500","1","0.4412245972693944","0.4412245972693944","0","2.3034605107775586E-27"
"96","200","6","5","random","true","0.3","0.1","0.6","0.15","3","10","false","200","false","500","500","1","0.5160225332365566","0.5160225332365566","1","3.169937453470551E-30"
